title,description,link,post_status,post_type,lat,lng,map_id,approved,address,category
AERO-FLITE INC,509-747-6001,https://www.aerofliteinc.com,publish,dealers,47.613026,-117.530736,1,1,"8520 W Electric Ave SPOKANE, WA, 99224",1
"DEPOT AVIONICS, INC.",719-589-6777,https://www.depotavionics.com,publish,dealers,37.46124,-105.865322,1,1,"2550 State Ave. ALAMOSA, CO, 81101",1
VON'S AVIONICS INC,281-648-1610,,publish,dealers,29.515463,-95.238755,1,1,"17781 Airfield Lane Pearland, TX, 77581",1
DAN MCNEELY LLC dba AIRCRAFT RPR CORP,972-893-4304,,publish,dealers,32.510653,-96.930241,1,1,"2560 Eagles Nest Court Midlothian, TX, 76065",1
PACIFIC COAST AVIONICS - AURORA,503-678-6242,https://www.pacificcoastavionics.com,publish,dealers,45.249139,-122.764359,1,1,"22783 AIRPORT ROAD N.E. Aurora, OR, 97002",1
AV-COM AVIONICS LLC,541-815-8184,,publish,dealers,44.270702,-121.201041,1,1,"2772 SW Glacier Avenue REDMOND, OR, 97756",1
"ADVANCED AVIATION RENO, INC",775-853-4541,https://www.advancedaviationreno.com,publish,dealers,39.501732,-119.763862,1,1,"655 S Rock Blvd RENO, NV, 89502",1
WESTERN AVIATION - WA,509-534-7371,https://www.westernaviation.net,publish,dealers,47.679528,-117.32304,1,1,"6095 EAST RUTTER AVE SPOKANE, WA, 99212",0
HANGAR ONE AVIONICS,760-929-2270,https://www.h1avionics.com,publish,dealers,33.121236,-117.280386,1,1,"2026 PALOMAR AIRPORT ROAD CARLSBAD, CA, 92011",1
"LEADING EDGE AVIATION, INC",541-383-8825,https://www.flyleadingedge.com,publish,dealers,44.089113,-121.203574,1,1,"63048 POWELL BUTTE HWY BEND, OR, 97701",1
ADVANCED HELICOPTER SERVICES,530-669-7115,https://www.advancedhelicopterservices.com,publish,dealers,38.67861,-121.868619,1,1,"17986 County Road 94B Woodland, CA, 95695",1
"AEROTRONICS, INC.",406-259-5006,https://www.aerotronics.com,publish,dealers,45.8026,-108.529022,1,1,"1651 AVIATION PLACE BILLINGS, MT, 59105",1
AEROSECURE LLC,480-340-2764,https://www.aerosecureavionics.com,publish,dealers,33.742364,-112.111496,1,1,"2409 W CORDIA LANE Phoenix, AZ, 85085",1
CANADA WEST AVIONICS LTD,604-409-8182,https://www.canadawestavionics.com,publish,dealers,49.072003,-123.007384,1,1,"7630 Montreal St Delta, BC,  V4K OA7",1
RAY'S AVIATION,805-525-4352,https://www.rays-aviation.com,publish,dealers,34.364943,-119.085704,1,1,"35 CESSNA TAXI   SANTA PAULA, CA, 93060",1
YINGLING AIRCRAFT,316-943-3246,https://www.yinglingaviation.com,publish,dealers,37.657452,-97.425086,1,1,"2010 AIRPORT RD. WITCHITA, KS, 67209",1
LONE MOUNTAIN AVIATION,702-309-2200,https://www.lonemountainaviation.com,publish,dealers,36.21086,-115.205861,1,1,"2830 NORTH RANCHO DR Las Vegas, NV, 89130",1
"GRYPHON AIRCRAFT SERVICES, LLC",951-698-4260,https://www.gryphonaircraft.com,publish,dealers,33.576163,-117.130644,1,1,"37680 Sky Canyon Drive Murrieta, CA, 92563",1
"SAN ANTONIO AVIONICS, INC",210-922-1230,,publish,dealers,29.342063,-98.470998,1,1,"8337 MISSION RD San Antonio, TX, 78214",1
WOODLAND AVIATION,530-759-6036,https://www.woodlandaviation.com,publish,dealers,38.572196,-121.852267,1,1,"25170 Aviation Avenue Davis, CA, 95616",1
CAMPUS AVIONICS SERVICE,817-279-0033,,publish,dealers,32.351553,-97.677409,1,1,"9101 BELLECHASE ROAD GRANBURY, TX, 76049",1
NORCAL AVIONICS LLC,831-768-9733,,publish,dealers,36.934915,-121.790775,1,1,"120 Aviation Way #4 Watsonville, CA, 95076",1
"AVIONICS 1ST, INC",214-337-7000,https://www.avionics1st.com,publish,dealers,32.672693,-96.858673,1,1,"5676 Apollo Dr DALLAS, TX, 75237",1
WESTERN PLAINS AVIATION LLC,970-373-4550,https://www.westernplainsaviation.com,publish,dealers,40.424083,-104.625269,1,1,"3401 E. 8TH STREET GREELEY, CO, 80631",1
EZELL AVIONICS INC,254-559-3051,https://www.ezellaviation.com,publish,dealers,32.769037,-98.84154,1,1,"228 PR 150-1 Breckenridge, TX, 76424",1
BENTON AIR CENTRE INC,530-241-4204,https://www.flyhillside.com,publish,dealers,40.575758,-122.405927,1,1,"2600 Gold Street Redding, CA, 96001",0
"KACHEMAK BAY SERVICES, INC. (KBFS)",254-773-9902,,publish,dealers,31.149973,-97.411845,1,1,"7720C Airport Road TEMPLE, TX, 76502",1
LEADING EDGE AVIONICS INC,714-955-6151,https://www.leavionics.com,publish,dealers,33.674112,-117.872588,1,1,"19300 IKE JONES ROAD SANTA ANA, CA, 92707",1
HIGH DESERT AVIONICS,661-949-8300,https://www.highdesertavionics.com,publish,dealers,34.74739,-118.369249,1,1,"4555-9 WEST ""G"" LANCASTER, CA, 93536",1
AOG-ASAP AVIONICS,303-578-9661,https://www.ftgexec.com,publish,dealers,39.789887,-104.548803,1,1,"37451 Beechcraft Way WATKINS, CO, 80137",1
SELECT AVIONICS,214-491-1600,https://www.selectavionics.com,publish,dealers,33.179005,-96.59618,1,1,"1500 E. INDUSTRIAL BLVD MCKINNEY, TX, 75069",1
AERO BRIGHAM LLC,940-626-4849,https://www.aerobrigham.com,publish,dealers,33.253159,-97.582823,1,1,"351 AIRPORT ROAD DECATUR, TX, 76234",1
ALPINE AVIATION INC.,530-477-7701,https://www.flyalpine.com,publish,dealers,39.222574,-121.00997,1,1,"13310 NEVADA CITY AVE GRASS VALLEY, CA, 95945",1
"UNITED ROTORCRAFT SOLUTIONS, LLC",940-627-0626,https://www.unitedrotorcraft.com,publish,dealers,33.251117,-97.585449,1,1,"1942 N TRINITY DECATUR, TX, 76234","0,1"
"AHR AVIONICS, INC.",210-377-3195,,publish,dealers,29.537762,-98.484359,1,1,"567 Sandau Rd San Antonio, TX, 78216",1
TROUTDALE AIRCRAFT SERVICES,503-666-3838,https://www.troutdaleaircraft.com,publish,dealers,45.550605,-122.397005,1,1,"1250 NW PERIMETER WAY TROUTDALE, OR, 97060",1
EXECUTIVE AIRCRAFT MAINTENANCE,480-991-0900,https://www.eamaz.com,publish,dealers,33.424776,-112.023151,1,1,"2710 East Old Tower Road Phoenix, AZ, 85034",1
TIME AEROSPACE LLC,210-885-5118,https://www.timeaerospace.com,publish,dealers,29.560611,-98.261619,1,1,"1045 WILLIAMSBURG DRIVE SCHERTZ, TX, 78154",1
MCKEE AVIONICS,512-392-1172,,publish,dealers,30.054378,-98.003574,1,1,"1838 AIRPORT DR SAN MARCOS, TX, 78667",1
AVTECH SERVICES LLC,801-556-9679,,publish,dealers,40.867322,-111.928405,1,1,"1887 WEST 1800 SOUTH WOODS CROSS, UT, 84087",1
VALLEY AVIONICS,480-518-3677,,publish,dealers,33.457978,-111.72495,1,1,"4901 East Falcon Dr MESA, AZ, 85215",1
"EXCITE AIRCRAFT, INC",972-735-9099,https://www.thrustflight.com,publish,dealers,32.96179,-96.82917,1,1,"dba US Sport Aircraft ADDISON, TX, 75001",1
RAMONA AVIONICS INC,760-788-0546,https://www.ramonaavionics.com,publish,dealers,33.04009,-116.915073,1,1,"2450 MONTECITO ROAD RAMONA, CA, 92065",1
SCOUT M.A.D.NESS,806-745-7475,,publish,dealers,33.485427,-101.818206,1,1,"12201 County Rd 2500 Luddock, TX, 79404",1
LAKE AERO STYLING & REPAIR,707-263-0412,https://www.lasar.com,publish,dealers,38.986979,-122.896415,1,1,"900F SKY PARK DRIVE LAKEPORT, CA, 95453",1
JACKSON JET CENTER LLC,208-383-3300,https://www.jacksonjetcenter.com,publish,dealers,43.571132,-116.227107,1,1,"3815 Rickenbacker St BOISE, ID, 83705",1
PJ HELICOPTERS INC,800-582-2840,https://www.jphelicopters.com,publish,dealers,40.145319,-122.243327,1,1,"903 Langley Way Red Bluff, CA, 96080",1
FLITE ELECTRONICS,972-239-3791,,publish,dealers,32.969597,-96.835574,1,1,"4786 AIRPORT PARKWAY ADDISON, TX, 75001",1
AIR SPRAY (1967) LTD,403-886-4088,https://www.airspray.com,publish,dealers,44.497146,-88.128592,1,1,"2160 Airport Drive Springbrook, Alberta,  T4S 2E8",1
CONDOR AVIONICS & AIRMOTIVE,806-765-6446,https://www.conoravionics.com,publish,dealers,33.662318,-101.835166,1,1,"6002 N. CEDAR AVE Lubbock, TX, 79403",1
AIR PLAINS SERVICES CORP,620-326-8904,https://www.airplains.com,publish,dealers,37.22486,-97.384535,1,1,"439 North West Road WELLINGTON, KS, 67152",1
PAE AVIATION AND TECHNICAL SERVICES LLC,864-412-2028,https://www.pae.com,publish,dealers,31.364964,-100.501855,1,1,"8092 Hangar Road San Angelo, TX, 76904","0,1"
JONES AVIONICS,281-433-6077,,publish,dealers,30.024497,-95.459277,1,1,"1418 Castlerock Drive HOUSTON, TX, 77090",1
"ARIZONA AIR-CRAFTSMAN, INC",928-717-1680,,publish,dealers,34.646185,-112.423968,1,1,"2020 Clubhouse Dr PRESCOTT, AZ, 86301",1
"DODSON AVIATION, INC",785-242-4000,,publish,dealers,38.533903,-95.253857,1,1,"2110 Montana Road OTTAWA, KS, 66067",0
SANTA FE AERO SERVICES,505-795-7900,,publish,dealers,35.618277,-106.08449,1,1,"121 Aviation Dr SANTA FE, NM, 87507",1
FIELDTECH AVIONICS,817-625-2719,https://www.ftav.com,publish,dealers,32.83758,-97.323684,1,1,"2200 N.E. LOOP 820 FORT WORTH, TX, 76106",1
ROCKY MOUNTAIN AIRCRAFT SERVICES,406-752-5810,https://www.rockymtnaircraft.com,publish,dealers,48.202765,-114.303919,1,1,"(blank)4170 US-2 Kalispell, MT, 59901",1
JLC AVIONICS,541-488-1964,https://www.jlcavionics.com,publish,dealers,42.188495,-122.655953,1,1,"433 Dead Indian Memorial Rd Ashland, OR, 97520",1
DIRECT AVIONICS,415-892-3511,https://www.directavionics.com,publish,dealers,38.13951,-122.557292,1,1,"451 AIRPORT RD NOVATO, CA, 94945",1
"MCCREERY AVIATION CO., INC.",956-686-1774,https://www.mccreeryaviation.com,publish,dealers,26.181087,-98.234006,1,1,"2400 S. 10TH STREET McAllen, TX, 78503",1
GENESYS AEROSYSTEMS,817-215-7600,https://www.genesys-aerosystems.com,publish,dealers,32.786413,-98.057535,1,1,"1 S-TEC Way Mineral Wells, TX, 76067",1
PRECISION AEROTECH LLC,907-331-7588,,publish,dealers,61.311484,-149.516726,1,1,"19614 First Street Eagle River, AK, 99577",1
"ABILENE AERO, INC.",325-677-2601,https://www.abileneaero.com,publish,dealers,32.41369,-99.681047,1,1,"2850 Airport Blvd ABILENE, TX, 79602",1
ARAPAHOE AERO AVIONICS,303-799-8386,https://www.arapahoeaero.com,publish,dealers,39.57432,-104.840095,1,1,"12780 EAST CONTROL TOWER ROAD ENGLEWOOD, CO, 80112",1
GLACIER JET CENTER,406-755-5362,https://www.glacierjetcenter.com,publish,dealers,48.307654,-114.252735,1,1,"4170 US HWY 2 EAST KALISPELL, MT, 59901",1
"THE STC GROUP, LLC",231-220-9296,https://www.thestcgroupllc.com,publish,dealers,34.291142,-118.704539,1,1,"3168 Jacinto Avenue SIMI VALLEY, CA, 93063",1
NORTH TEXAS AVIONICS,817-422-2714,https://www.northtexasavionics.com,publish,dealers,32.932292,-97.411814,1,1,"732 Aviator Drive FORT WORTH, TX, 76179",1
"JAG AVIATION, INC",254-848-2345,https://www.jagaviationinc.com,publish,dealers,31.444572,-97.408554,1,1,"357 MCGREGOR AIRPORT ROAD MCGREGOR, TX, 76657",1
NATRONA AVIONICS,307-577-0770,https://www.natrona-avionics.com,publish,dealers,42.901279,-106.459036,1,1,"7956 FULLER ST. CASPER, WY, 82604",1
PRECISION HELI-SUPPORT,480-985-7994,https://www.precisionhelisupport.com,publish,dealers,33.45487,-111.729511,1,1,"4702 E Fighter Aces Dr MESA, AZ, 85215",1
CHIEF AVIONICS,800-447-3408,https://www.chiefaircraft.com,publish,dealers,42.507319,-123.387183,1,1,"1301 BROOKSIDE BLVD. GRANTS PASS, OR, 97526",1
"EL PASO AERO, INC.",915-779-3481,https://www.elpasoaero.com,publish,dealers,31.792674,-106.386454,1,1,"7305 BOEING DR EL PASO, TX, 79925",1
RITE-WAY AVIATION INC,281-376-4011,,publish,dealers,30.061156,-95.549878,1,1,"7814 EAGLE LANE SPRING, TX, 77379",1
NEXAIR AVIONICS,508-339-7077,https://www.nexairavionics.com,publish,dealers,41.90585,-70.730731,1,1,"246 S Meadow Road Plymouth, MA, 2360",1
SARASOTA AVIONICS - VENICE,888-289-0997,https://www.sarasotaavionics.com,publish,dealers,27.911577,-82.447412,1,1,"845 Severn Avenue TAMPA, FL, 33606",1
BOXWELL AVIONICS,(321) 246-4288,,publish,dealers,27.490012,-80.369195,1,1,"3050 AIRMAN DRIVE FT. PIERCE, FL, 34946",1
"SAINT AVIATION, INC",(352) 427-0285,https://www.saintaviation.com,publish,dealers,29.066123,-82.368819,1,1,"10575 SW 147th Circle Dunnellon, FL, 34432",1
GULF COAST AVIONICS,(863) 709-9714,https://www.gulfcoastavionics.com,publish,dealers,27.958039,-81.923809,1,1,"LAKELAND LINDER REGIONAL AIRPT LAKELAND, FL, 33811",1
"LOWE AVIATION SERVICES, LLC",(478) 788-3991 ,https://www.loweaviation.com/,publish,dealers,32.702141,-83.649238,1,1,"2178 FLIGHTLINE AVE MACON, GA, 31216",1
SOUTHEAST AEROSPACE INC.,(321) 255.9877 ,https://www.SEAerospace.com ,publish,dealers,28.109111,-80.647991,1,1,"1399 GENERAL AVIATION DRIVE MELBOURNE, FL, 32935",1
WISCONSIN AVIATION - MADISON,(608) 268-5006,https://www.wisconsinaviation.com/,publish,dealers,43.139341,-89.330451,1,1,"3632 Corben Court Madison, WI, 53704",1
"ABSOLUTE AVIATION, LLC",(386) 847-1734,http://www.absoluteaviationllc.com/home.html,publish,dealers,28.974136,-80.92291,1,1,"635 AIRPARK ROAD EDGEWATER, FL, 32132",1
AVIATION PARTNERS GROUP,(941) 637-8585,https://www.avionix.com,publish,dealers,26.913983,-81.996903,1,1,"8150 Skylane Way Punta Gorda, FL, 33982",1
LONE MOUNTAIN AIRCRAFT LLC,( 888)566-3686,http://www.lonemountainaircraft.com/,publish,dealers,39.455923,-84.257257,1,1,"2460 GREENTREE ROAD LEBANON, OH, 45036",1
MUNCIE AVIATION COMPANY,(765) 289-7141,http://www.muncieaviation.com/,publish,dealers,40.237117,-85.387183,1,1,"5201 N WALNUT ST MUNCIE, IN, 47303",1
"LAFAYETTE AVIONICS, INC",(765) 743-3828,https://avionics-laf.com/,publish,dealers,40.414374,-86.935002,1,1,"1632 AVIATION DR West Lafayette, IN, 47906",1
"METRO AVIATION, INC.",(318) 698-5200,http://www.metroaviation.com/,publish,dealers,32.535032,-93.760795,1,1,"1214 HAWN AVE SHREVEPORT, LA, 71107",1
STEINAIR INC.,(651) 460-6955,https://www.steinair.com/,publish,dealers,44.642856,-93.16733,1,1,"21170 EATON AVE, SUITE A FARMINGTON, MN, 55024",1
BONDURANT AVIONICS,(662) 895-2297,http://www.bondurantavionics.com/index.html,publish,dealers,34.979674,-89.791144,1,1,"11299 Airport Road Olive Branch, MS, 38654",1
ACHIEVEMENT AVIATION LLC,(260) 525-2975,http://www.achievementaviation.com/,publish,dealers,40.485233,-84.564104,1,1,"6177 St. Rd. 219, Hangar 51 Celina, OH, 45822",1
"CARPENTER AVIONICS, INC.",(615) 355-9970,https://www.carpenter-avionics.com/,publish,dealers,36.004577,-86.50846,1,1,"624 - B FITZHUGH BLVD. Smyrna, TN, 37167",1
SPARKCHASERS AIRCRAFT SERVICES,(919) 934-1654,http://www.flysparkchasers.com/,publish,dealers,35.550029,-78.388736,1,1,"3223-C SWIFT CREEK RD SMITHFIELD, NC, 27577",1
"MONTGOMERY AERO ENTERPRISES, LLC",(423) 645-7736,https://www.montgomeryaero.com/,publish,dealers,35.447915,-84.598604,1,1,"Cleveland Regional Jetport CLEVELAND, TN, 37303",1
BURLINGTON AIR CENTER,(262) 763-9500,https://www.burlingtonaircenter.com/,publish,dealers,42.691078,-88.295933,1,1,"703 AIRPORT RD BURLINGTON, WI, 53105",1
"STEINER AVIATION INTERNATIONAL, INC.",(330) 499-9790,http://steineraviationinternational.com/,publish,dealers,40.919756,-81.431442,1,1,"5430 LAUBY ROAD NORTH CANTON, OH, 44720",1
STEEL AVIATION,(937) 332-7587,https://www.steelaviation.com/,publish,dealers,39.905385,-84.402785,1,1,"PHILLIPSBURG AIRPORT Phillipsburg, OH, 45354",1
BUN AIR AVIONICS,(814) 623-8171,https://www.bunaircorp.com/,publish,dealers,40.082403,-78.511809,1,1,"697 BELDEN ROAD BEDFORD, PA, 15522",1
"RENDRAG AVIATION, LLC",(706) 648-0021,http://www.rendragaviation.com/,publish,dealers,32.950241,-84.267198,1,1,"2347 DELRAY ROAD THOMASTON, GA, 30286",1
LANCASTER AVIONICS,(717) 569-1953,http://www.lancasteravionics.com/contact-us.html,publish,dealers,40.233357,-76.315083,1,1,"LANCASTER AIRPORT LITITZ, PA, 17543",1
AVIONICS EXCHANGE LLC,(717) 792-7718,https://avionicsexchange.com/,publish,dealers,39.922773,-76.878225,1,1,"6054 Lincoln Hwy West Thomasville, PA, 17364",1
GARY JET CENTER INC,(219) 944-1210,https://garyjetcenter.com/,publish,dealers,41.563236,-87.16346,1,1,"5401 Airport Rd Gary, IN, 46406",1
CLEAR SKY AVIATION LLC,(434) 284-5109,http://clear-sky-aviation.com/,publish,dealers,38.149457,-78.434561,1,1,"995 Research Park Blvd Charlottesville, VA, 22911",1
NORTHEAST AIR,(207) 874-4712,https://northeastair.com/,publish,dealers,43.648437,-70.308138,1,1,"1011 Westbrook Street  Portland, ME, 4102",1
TWIN LAKES AVIONICS,(336) 998-6120,http://greeraerospace.com/,publish,dealers,35.913991,-80.452678,1,1,"206 INDIAN HILLS ROAD ADVANCE, NC, 27006",1
AVIONICS PLACE,(815) 229-5360,http://www.avionicsplace.com/,publish,dealers,42.196681,-89.065539,1,1,"GREATER ROCKFORD AIRPORT ROCKFORD, IL, 61109",1
ADVANCED AIRCRAFT CENTER,(305) 259-8291,http://www.advancedaircraftcenter.com/,publish,dealers,25.649844,-80.42579,1,1,"14299 SW 127TH STREET MIAMI, FL, 33186",1
"GALAXY FFA, LLC",(603) 851-7586,,publish,dealers,43.054941,-71.518697,1,1,"369 E Dunbarton Road Goffstown, NH, 3045",1
GRIGGS AIRCRAFT REFINISHING LLC,(570) 836-5757,http://www.griggsaircraft.com/,publish,dealers,41.525544,-75.943647,1,1,"172 RUNWAY ROAD TUNKHANNOCK, PA, 18657",1
STARK AVIONICS,(706) 321-1008,http://www.starkavionics.com/,publish,dealers,32.542198,-84.920187,1,1,"COLUMBUS METROPOLITAN AIRPORT COLUMBUS, GA, 31909",1
"HERITAGE AVIATION, INC",(802) 863-3626,https://www.flyheritage.com/final/,publish,dealers,44.463866,-73.147199,1,1,"228 AVIATION AVENUE SOUTH BURLINGTON, VT, 5403",1
HEATH AVIATION,(662) 283-9833,https://heathaviation.com/,publish,dealers,33.471522,-89.727261,1,1,"219 AIRPORT DR WINONA, MS, 38967",1
EAGLE AVIONICS LLC,(812) 372-3790,http://www.eagleavionics.net/,publish,dealers,39.251625,-85.893457,1,1,"4770 ANDREWS ST COLUMBUS, IN, 47203",1
PRECISION AIRCRAFT SERVICES,(404) 335-7456,https://www.precisionaviationgroup.com,publish,dealers,33.626939,-84.403436,1,1,"495 Lake Mirror Road Atlanta, GA, 30349",1
KAMX LLC,(618) 363-2277,,publish,dealers,38.667635,-90.642685,1,1,"701 Crown Industrial CT Suite C CHESTERFIELD, MO, 63005",1
"CROSS CITY AVIATION SERVICES, INC",(386) 935-4320,,publish,dealers,29.622118,-82.507917,1,1,"3302 SW 154TH STREET ARCHER, FL, 32618",1
PORT CITY AIR,(630) 430-1111,https://www.portcityair.com/,publish,dealers,43.069119,-70.809467,1,1,"104 GRAFTON DR PORTSMOUTH, NH, 3801",1
FREEDOM AVIATION LLC,(434) 237-8420,https://www.flyfreedom.com/,publish,dealers,37.326952,-79.204562,1,1,"310 Hangar Rd LYNCHBURG, VA, 24502",1
"GWINNETT AERO MAINTENANCE, LLC",(770) 962-9092,http://www.gwinnettaero.com/,publish,dealers,33.982416,-83.963592,1,1,"850 AIRPORT RD LAWRENCEVILLE, GA, 30046",1
MOYER AVIATION INC,(570) 839-7161,http://www.moyeraviation.com/,publish,dealers,41.138224,-75.374916,1,1,"188 AIRPORT DRIVE TOBYHANNA, PA, 18466",1
"MID-SOUTH AVIONICS, INC",(205) 349-3502,http://midsouthavionics.aero/,publish,dealers,33.310207,-86.924298,1,1,"950 Mitchell Field Rd Bessemer, AL, 35022",1
AURIC AVIONICS & INSTRUMENTS,(504) 245-0072,http://www.auricavionics.com/,publish,dealers,29.998653,-90.044561,1,1,"6109 G. BELLANCA STREET NEW ORLEANS, LA, 70126",1
SMART AVIONICS INC,(717) 928-4360,http://www.smart-avionics.com/,publish,dealers,40.089584,-76.575833,1,1,"186 AIRPORT RD MARRIETTA, PA, 17547",1
BANYAN AIR SERVICE,954.491.3170•À__,https://www.banyanair.com/,publish,dealers,26.193255,-80.169458,1,1,"5320 NW 20th TERRACE FORT LAUDERDALE, FL, 33309",1
DEAN AIRCRAFT SERVICE,(601) 485-7304,https://www.deanaircraftservice.com/,publish,dealers,32.337935,-88.798727,1,1,"Meridian Airport Authority Meridian, MS, 39307",1
THOMAS H RIEMER dba AIRCRAFT CONSULTANTS,(412) 901-7682,,publish,dealers,40.244477,-80.012565,1,1,"196 AIRPORT ROAD FINLEYVILLE, PA, 15332",1
STEVENS AVIATION - SC,(864) 678-6000,https://www.stevensaviation.com/greenville,publish,dealers,34.759002,-82.371511,1,1,"600 DELAWARE STREET GREENVILLE, SC, 29605",1
SHENANDOAH AVIONICS,(540) 908-6358,,publish,dealers,38.262991,-78.901446,1,1,"63 Aviation Circle Weyers Cave, VA, 24486",1
"INFINITY AVIATION SERVICES, LLC",603-598-4526,http://www.infinityfbo.com/,publish,dealers,42.781971,-71.521665,1,1,"117 PERIMETER ROAD Nashua, NH, 3063",1
"ELIZABETHTOWN FLYING SERVICE, INC.",(270) 737-8388,http://www.flyekx.com/,publish,dealers,37.689202,-85.925108,1,1,"1828 KITTY HAWK DR ELIZABETHTOWN, KY, 42702",1
ORLANDO AIRCRAFT SERVICES,(407) 894-9963,http://orlandoavionics.com/,publish,dealers,28.552095,-81.326799,1,1,"601 HUMPHRIES AVE. ORLANDO, FL, 32803",1
EAGLE CREEK AVIATION SERVICES,(317) 293-6935,https://www.firstwing.com/fbo/,publish,dealers,39.997457,-86.298135,1,1,"C/O First Wing Jet Center Zionsville, IN, 46077",1
"ELITE AVIONICS SERVICES, LLC",(573) 381-0004,,publish,dealers,37.226499,-89.564383,1,1,"4331 John E Goodwin Jr, Memorial Dr Scott City, MO, 63780",1
"GANN AVIATION, INC.",(706) 638-3034,https://www.gannaviation.com/,publish,dealers,34.683541,-85.28227,1,1,"120 GASQUE DRIVE LAFAYETTE, GA, 30728",1
"MUSTANG AVIATION, INC",(859) 255-1902,http://mustangaviation.com/,publish,dealers,38.032399,-84.600563,1,1,"4316 HANGAR DRIVE LEXINGTON, KY, 40510",1
THE AVIATION DEPOT GRP dba Top Flight Avionics,(734) 484-9511,http://www.topflightavionics.com/,publish,dealers,42.275903,-83.44516,1,1,"48162 F St. Belleville, MI, 48111",1
"MOBILE AVIONICS TECHNOLOGIES, INC.",(815) 459-0446,http://www.avionics-technologies.com/,publish,dealers,42.204502,-88.316627,1,1,"8585 PYOTT ROAD LAKE IN THE HILLS, IL, 60156",1
LINCOLN PARK AVIATION,(973) 464-6693,http://www.lincolnparkaviation.com,publish,dealers,40.939305,-74.313991,1,1,"425 BEAVERBROOK ROAD Lincoln Park, NJ, 7035",1
JET LOGISTICS TECHNICAL SERVICES LLC,(704) 359-5230,http://jetlogisticstechnical.us/,publish,dealers,35.872006,-78.785954,1,1,"1775 EAST INTERNATIONAL DRIVE MORRISVILLE, NC, 27560",1
"MISIX AVIATION SERVICES, INC",(226) 884-4447 ,http://www.misixav.com/,publish,dealers,34.05936,-117.6203,1,1,"Unit 4 - 2480 Huron Street LONDON, ONTARIO,  N5V 0B1",1
DYERSBURG AVIONICS INC.,(573) 333-4296,http://www.dyersburgavionics.net/,publish,dealers,36.175022,-89.67527,1,1,"2204 AIRPORT DRIVE CARUTHERSVILLE, MO, 63830",1
FIT AVIATION LLC,(321) 674-6530,http://www.fitaviation.com,publish,dealers,28.094526,-80.642481,1,1,"813 HARRY GOODE WAY MELBOURNE, FL, 32901",1
Park Rapids Aviation,(218) 237-8528,http://www.parkrapidsaviation.com/,publish,dealers,46.984699,-95.09935,1,1,"301 AIRPORT ROAD PARK RAPIDS, MN, 56470",1
AIRBORNE AVIONICS,(803) 635-3086,http://www.airbornavionics.com/contact-us.html,publish,dealers,34.31581,-81.111497,1,1,"1291 RUNWAY ROAD WINNSBORO, SC, 29180",1
"KENTUCKY AIRMOTIVE, INC",(859) 498-1000,https://kentuckyairmotive.com/,publish,dealers,38.055221,-83.983524,1,1,"709 Airport Road MT. Sterling, KY, 40353",1
C&W AERO SERVICES,(973) 227-5750,,publish,dealers,40.875948,-74.29681,1,1,"19 Wright County Airport 19 Wright Wat Suite #3 Fairfield, NJ, 7004",1
